Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
8.944519371851415e-10,0.11224539233422551,0.0,0.0,0.0,0.0,0.99999963766971289,3.5993366772614523e-07,1.1723368432023777e-09,2.6420846309033017e-11,1.1728458663704363e-09,1.9240364451336687e-11,5.7754297157745088e-12,2.1861194262915973e-21,5.1922311151631744e-22,9.2758807310755229e-24,1.381396254625868e-33
9.999999999999999e-10,0.11224539654925451,0.0,0.0,0.0,0.0,0.99999959490683599,4.0240343800425479e-07,1.3123708152886162e-09,3.3023934385402727e-11,1.3130357743823667e-09,2.4069862965978271e-11,7.225416230983734e-12,3.3750975854946689e-21,7.8384381176552582e-22,1.5638934386118935e-23,2.8828949100806089e-33
1.0798366288712545e-09,0.11224539654925451,0.0,0.0,0.0,0.0,0.99999956256000955,4.3452711055535303e-07,1.418528064905724e-09,3.8507232182864026e-11,1.4193287452289659e-09,2.8084907741995272e-11,8.4309514950870983e-12,4.5394470485213396e-21,1.0405091400229929e-21,2.227045048690478e-23,4.6287954294999254e-33
1.2652213205573675e-09,0.11224540076447218,0.0,0.0,0.0,0.0,0.9999994874458592,5.0911827030215795e-07,1.6658103568329912e-09,5.2863243001722542e-11,1.6669899979528453e-09,3.8614176840301581e-11,1.1592734790774426e-11,8.3550750152094434e-21,1.8751977163732442e-21,4.6641372031182511e-23,1.2655319514672827e-32
1.4506060122434805e-09,0.11224540497987924,0.0,0.0,0.0,0.0,0.99999941232725298,5.8370714615857685e-07,1.9141786375129171e-09,6.9488820033711838e-11,1.9158346250255154e-09,5.0835600788771911e-11,1.5263197034583056e-11,1.4099188364986387e-20,3.1267826825748115e-21,8.8448205027312905e-23,3.0175059644864916e-32
1.6359907039295935e-09,0.11224540919547661,0.0,0.0,0.0,0.0,0.99999933720418188,6.5829373731649085e-07,2.1636278701898062e-09,8.8383904578782347e-11,2.1658675820807175e-09,6.475657481930684e-11,1.9444766614427889e-11,2.2286019439680587e-20,4.9136512449346947e-21,1.5562572797546871e-22,6.4914654247638424e-32
1.8213753956157065e-09,0.11224541341126487,0.0,0.0,0.0,0.0,0.99999926207663747,7.3287804296756889e-07,2.4141530615192962e-09,1.0954843796595766e-10,2.4170937812026171e-09,8.0384461678865818e-11,2.4139882899267984e-11,3.3471503248509416e-20,7.368799076630229e-21,2.5822616972564326e-22,1.2881725106573885e-31
2.1921447789879326e-09,0.11224542184341761,0.0,0.0,0.0,0.0,0.99999911180809209,8.820397945156903e-07,2.9184115506117486e-09,1.5868561681043817e-10,2.9231453495979426e-09,1.1679026874016001e-10,3.5080560932633213e-11,6.7222314088796298e-20,1.4882625725434447e-20,6.2144363686919858e-22,4.224546477075261e-31
2.5629141623601586e-09,0.11224543027634351,0.0,0.0,0.0,0.0,0.99999896152154677,1.0311923943354523e-06,3.4269150135995338e-09,2.1689988815681091e-10,3.4340277690758103e-09,1.6011126866751809e-10,4.8104947014562986e-11,1.2045310573799252e-19,2.7012130069530257e-20,1.3085261880199145e-21,1.1451747591413377e-30
2.9336835457323846e-09,0.11224543871004869,0.0,0.0,0.0,0.0,0.99999881121693135,1.1803358359594008e-06,3.93962507541857e-09,2.8419078449220603e-10,3.9497787605635294e-09,2.1040515633626249e-10,6.3232921789388304e-11,1.9870959449215423e-19,4.5333309908596433e-20,2.4993992229841731e-21,2.7078459491697219e-30
3.675222312476837e-09,0.11224545557982095,0.0,0.0,0.0,0.0,0.99999851055321209,1.4785952187546531e-06,4.9775147235069989e-09,4.4600058687181158e-10,4.9960341071234609e-09,3.3213986628350469e-10,9.9879881669716467e-11,4.5367053644688288e-19,1.0788772967858045e-19,7.4233557475531639e-21,1.1611285827745489e-29
4.283990868332002e-09,0.11224546943149419,0.0,0.0,0.0,0.0,0.99999826366777389,1.7234247491111576e-06,5.8418313038868045e-09,6.0597244098355998e-10,5.8698304332967919e-09,4.5341426357008587e-10,1.3642847948704991e-10,7.9009176124895614e-19,1.9496456959914445e-19,1.5600205685015112e-20,3.0823521278650718e-29
4.892759424187166e-09,0.11224548328534223,0.0,0.0,0.0,0.0,0.99999801673275845,1.9682295093753206e-06,6.7170312869100686e-09,7.9040775221065742e-10,6.7572004650764618e-09,5.9419056107456459e-10,1.7890209770658216e-10,1.2721947447763529e-18,3.2592574640311338e-19,2.9730515758468092e-20,7.1490205018879125e-29
5.501527980042331e-09,0.11224549714139066,0.0,0.0,0.0,0.0,0.99999776974786514,2.213009470930096e-06,7.6029617149608283e-09,9.9930447594114277e-10,7.6582942193576254e-09,7.5471106316879072e-10,2.2739257580472767e-10,1.9300220759317773e-18,5.1318268361640519e-19,5.2555988521639154e-20,1.4986110743750005e-28
6.110296535897495e-09,0.11224551099966439,0.0,0.0,0.0,0.0,0.99999752271279552,2.4577646051606489e-06,8.4994739813302038e-09,1.2326605746709903e-09,8.5732573492702714e-09,9.3521470925434467e-10,2.8199274207411323e-10,2.79439263157638e-18,7.7054335433381882e-19,8.7545524956270046e-20,2.9008254658137862e-28
6.71906509175266e-09,0.11224552486018813,0.0,0.0,0.0,0.0,0.99999727562725427,2.7024948834541085e-06,9.4064237341696824e-09,1.4904740181193222e-09,9.5022312400517996e-09,1.1359371482268019e-09,3.4279639207062828e-10,3.896843793866665e-18,1.1131816909976326e-18,1.3896508725123973e-19,5.2644275331855416e-28
7.3278336476078245e-09,0.1122455387229862,0.0,0.0,0.0,0.0,0.99999702849094718,2.9472002771994284e-06,1.0323670743992123e-08,1.7727427833426151e-09,1.0445353141428097e-08,1.3571108404729656e-09,4.0989825811353107e-10,5.2695563170229563e-18,1.5575957251805185e-18,2.119549917665164e-19,9.0577744101664174e-28
7.936602203462989e-09,0.11224555258808254,0.0,0.0,0.0,0.0,0.99999678130358349,3.1918807577872767e-06,1.1251078809925611e-08,2.0794648548198256e-09,1.1402756261262109e-08,1.5989651301155279e-09,4.8339398779021399e-10,6.9453073969461955e-18,2.1215783003481808e-18,3.1258732062024441e-19,1.490017156939482e-27
8.545370759318153e-09,0.1122455664555009,0.0,0.0,0.0,0.0,0.99999653406487288,3.436536296609898e-06,1.2188515600207363e-08,2.4106382245949827e-09,1.2374569924920421e-08,1.8617263676042805e-09,5.633801070398331e-10,8.9574007640653844e-18,2.8241678814512521e-18,4.4796055312471116e-19,2.3595617141960008e-27
9.154139315173318e-09,0.1122455803252645,0.0,0.0,0.0,0.0,0.99999628677453001,3.6811668650610888e-06,1.3135852564899891e-08,2.7662608923582799e-09,1.3360919662481493e-08,2.1456179767029759e-09,6.4995399985360986e-10,1.1339638296150173e-17,3.6856220966657125e-18,6.2625220358072524e-19,3.6164161695630759e-27
9.762907871028484e-09,0.11224559419739619,0.0,0.0,0.0,0.0,0.999996039432268,3.925772434536096e-06,1.4092964804499859e-08,3.1463308655673345e-09,1.4361927340012372e-08,2.4508605553581734e-09,7.4321387774921144e-10,1.4126296362523014e-17,4.7273787891399416e-18,8.5679779922353697e-19,5.3870837860408435e-27
9.999999999999999e-09,0.11224560807191895,0.0,0.0,0.0,0.0,0.99999594308778361,4.0210302023733935e-06,1.446834215688648e-08,3.3009679296947258e-09,1.4755773264122994e-08,2.5755648847941622e-09,7.813653913630248e-10,1.5328490856748307e-17,5.1867204493829167e-18,9.6295484589786818e-19,6.2480872837368901e-27
1.0371676426883649e-08,0.11224560807191895,0.0,0.0,0.0,0.0,0.99999579203780442,4.17035297643159e-06,1.5059731005023396e-08,3.550846159508011e-09,1.5377711224419855e-08,2.7776719255777809e-09,8.4325876473599034e-10,1.7352122757781206e-17,5.9720372809344033e-18,1.1501319554218286e-18,7.8265395166856143e-27
1.0980444982738814e-08,0.11224562194885493,0.0,0.0,0.0,0.0,0.99999554459085782,4.4149084621455527e-06,1.6036033304214827e-08,3.9798047974151381e-09,1.640838611711965e-08,3.1262672362696068e-09,9.5018846636306305e-10,2.1052320065556781e-17,7.443319685336132e-18,1.518069738617099e-18,1.1121687100321111e-26
1.158921353859398e-08,0.11224563582822629,0.0,0.0,0.0,0.0,0.99999529709114898,4.6594388630772145e-06,1.7021757223183537e-08,4.4332048105316733e-09,1.7454063422334699e-08,3.49685901582549e-09,1.0641035539431838e-09,2.5262535809317091e-17,9.1660514631921453e-18,1.9737498313578249e-18,1.5496043292342247e-26
1.2197982094449145e-08,0.11224564971005473,0.0,0.0,0.0,0.0,0.99999504953839968,4.9039441506269594e-06,1.801679152903658e-08,4.9110442382302672e-09,1.8514851284342862e-08,3.8896572776731094e-09,1.1851053327363018e-09,3.0018846609984863e-17,1.1166122644199483e-17,2.5317177577355427e-18,2.1213178165364307e-26
1.280675065030431e-08,0.11224566359436196,0.0,0.0,0.0,0.0,0.99999480193233459,5.1484242961962827e-06,1.9021028177754504e-08,5.413321128060548e-09,1.9590854644551329e-08,4.3048695641681961e-09,1.3132958287189003e-09,3.5357753721927467e-17,1.3470472342790993e-17,3.2079624076875955e-18,2.8581840030214122e-26
1.3415519206159476e-08,0.11224567748116906,0.0,0.0,0.0,0.0,0.99999455427267891,5.3928792711877113e-06,2.0034362184387326e-08,5.9400335358637659e-09,2.068217537118915e-08,4.7427010463009233e-09,1.4487777584848692e-09,4.1316175085755353e-17,1.6107053374217555e-17,4.0199952876369534e-18,3.795960591003679e-26
1.4024287762014642e-08,0.11224569137049711,0.0,0.0,0.0,0.0,0.99999430655916055,5.6373090470047795e-06,2.105669157782732e-08,6.4911795258077747e-09,2.1788912304495698e-08,5.2033545584545849e-09,1.591654518778944e-09,4.7931442913375862e-17,1.9104820702330789e-17,4.9868806248356963e-18,4.9758730363741671e-26
1.4633056317869807e-08,0.11224570526236675,0.0,0.0,0.0,0.0,0.99999405879150838,5.8817135950519259e-06,2.2087917271743213e-08,7.0667571704998401e-09,2.2911161385675628e-08,5.6870306975589013e-09,1.74203015658324e-09,5.5241294725468023e-17,2.2493697105640243e-17,6.1293148424583202e-18,6.4449925522020821e-26
1.5241824873724972e-08,0.11224571915679861,0.0,0.0,0.0,0.0,0.99999381096945272,6.1260928867344829e-06,2.31279430260555e-08,7.6667645510132271e-09,2.4049015695392206e-08,6.1939278527089537e-09,1.9000093602140007e-09,6.328386899033945e-17,2.630456374981073e-17,7.4696530812076429e-18,8.2568746375487493e-26
1.5850593429580138e-08,0.11224573305381279,0.0,0.0,0.0,0.0,0.99999356309272625,6.3704468934585868e-06,2.4176675317382088e-08,8.2911997569994613e-09,2.5202565583212334e-08,6.724242304682221e-09,2.0656974292828803e-09,7.2097696539658433e-17,3.0569226508978592e-17,9.0319894641852241e-18,1.0471935992109064e-25
