Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19)
3.043287580095995e-10,0.11224537891804677,0.0,0.0,0.0,0.0,0.99999987673200552,1.2247005811631815e-07,3.9597553406675211e-10,3.0587793188387965e-12,3.96019849298002e-10,2.2168638177161925e-12,6.6531654272584807e-13,3.5053490890754974e-23,1.2331070604457726e-23,9.1367192620148961e-26,2.2800063160251967e-36,7.5055233582807236e-39,2.991030914798177e-41,2.917224311826809e-41,6.5685957136419275e-42,1.5931392869323536e-25,6.4921185005826511e-27
3.662261326126661e-10,0.11224538032516813,0.0,0.0,0.0,0.0,0.99999985165909611,1.4737847083157549e-07,4.7688064988549712e-10,4.42946700842528e-12,4.7694707709163929e-10,3.2119088068778645e-12,9.6396169970038779e-13,7.09324087974486e-23,2.2903493447488319e-23,1.9640302709830198e-25,6.5777804428590795e-36,2.2753471158901724e-38,9.0755455702321012e-41,9.8122935096416337e-41,2.2091504050274245e-41,3.7270326047181196e-25,1.5147162141062486e-26
4.281235072157327e-10,0.11224538173231022,0.0,0.0,0.0,0.0,0.99999982658569475,1.7228662937569952e-07,5.5790962598210955e-10,6.0531977728955318e-12,5.5800347691777979e-10,4.3915418673457096e-12,1.318017513252066e-12,1.2883859487448312e-22,3.8921517598636655e-23,3.7819431951849556e-25,1.6414710993847121e-35,5.9146886951672309e-38,2.3610152384046849e-40,2.7979062599291837e-40,6.2985760858086812e-41,7.6785488709963456e-25,3.1124568770167298e-26
5.519182564218659e-10,0.11224538454665656,0.0,0.0,0.0,0.0,0.99999977643741511,2.2210218384329948e-07,7.2033846079066388e-10,1.0059780757159124e-11,7.2050448024557301e-10,7.3055763853729095e-12,2.192676279824256e-12,3.3946202143565568e-22,9.3255607694057916e-23,1.1124215524797322e-24,7.6330259901934695e-35,2.9341704940927995e-37,1.1727778727052866e-39,1.6445092567687944e-39,3.7012776860126963e-40,2.4979377759389808e-24,1.0072109103027608e-25
6.75713005627999e-10,0.11224538736108587,0.0,0.0,0.0,0.0,0.99999972628716416,2.7191672128022214e-07,8.8326048637328287e-10,1.507851099999423e-11,8.8352438772437576e-10,1.0961201714608395e-11,3.2899955401002129e-12,7.3570280966320882e-22,1.8958773800109898e-22,2.6616344639831713e-24,2.527797894729982e-34,1.0247790256741646e-36,4.0991800406971407e-39,6.4978514491195771e-39,1.4622123019783e-39,6.4053180446674821e-24,2.5703695380317084e-25
7.995077548341322e-10,0.11224539017559866,0.0,0.0,0.0,0.0,0.99999967613493879,3.217302414343598e-07,1.0466740729847051e-09,2.1109370191157488e-11,1.0470648039993632e-09,1.5360769748140265e-11,4.6107191471875704e-12,1.4035319871805805e-21,3.4575771650639214e-22,5.5807217797520579e-24,6.9434035441325202e-34,2.9484042992746901e-36,1.1801017856390085e-38,2.0830909897841394e-38,4.6867784687401007e-39,1.4140320934888829e-23,5.6472917728422487e-25
9.233025040402653e-10,0.11224539299019505,0.0,0.0,0.0,0.0,0.99999962598073655,3.7154274405814257e-07,1.2105776307690043e-09,2.8152340274625225e-11,1.2111272941641648e-09,2.0506582176024774e-11,6.1555803445139711e-12,2.4432078620699114e-21,5.8281019958576662e-22,1.0655460052722631e-23,1.689286158795225e-33,7.4477257008194698e-36,2.9825933181287301e-38,5.8437255449794674e-38,1.3145496144211576e-38,2.8093770698951835e-23,1.1164316198392662e-24
9.999999999999999e-10,0.11224539580487522,0.0,0.0,0.0,0.0,0.99999959490652157,4.024037541862371e-07,1.3123698344088333e-09,3.3023607108237017e-11,1.3130354044852053e-09,2.4070056562557506e-11,7.225467974841107e-12,3.3228797084654634e-21,7.8075253593817313e-22,1.5339530118219951e-23,2.8034969483319157e-33,1.2610973749820058e-35,5.0518756121275302e-38,1.0590757070922839e-37,2.3820881446639864e-38,4.1267836608580863e-23,1.634604363509489e-24
1.0470972532463985e-09,0.11224539580487522,0.0,0.0,0.0,0.0,0.99999957582455445,4.213542289109972e-07,1.3749696255704088e-09,3.6207403694005617e-11,1.3757133682641337e-09,2.6400867401979925e-11,7.9252942135852505e-12,3.9665400679325052e-21,9.2470631775604349e-22,1.8932484002553903e-23,3.7401657280792675e-33,1.699593761991644e-35,6.8095309616886949e-38,1.4783916286076619e-37,3.3249979612007936e-38,5.1482814636483255e-23,2.0352812417515832e-24
1.294686751658665e-09,0.11224540143448805,0.0,0.0,0.0,0.0,0.9999994755062408,5.2097414434241136e-07,1.70521283888811e-09,5.5353740588306615e-11,1.7064622593105068e-09,4.0443728000132457e-11,1.2142147507111668e-11,8.9580891244864954e-21,2.0330069090880862e-21,5.0826753238833792e-23,1.4909769682163314e-32,7.1394728313585419e-35,2.8627518725282887e-37,7.8485141291069304e-37,1.7641216714850754e-37,1.4409765322176837e-22,5.6318126319335635e-24
