Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
7.222682383513462e-09,0.11224553632833052,0.0,0.0,0.0,0.0,0.99999707118192416,2.9049346277656092e-06,1.01644954390617e-08,1.7222399258447533e-09,1.028142247368978e-08,1.3174368012121107e-09,3.9785332859173253e-10,5.0117310504933891e-18,1.472808827520619e-18,1.9754663743731553e-19
7.825317344985806e-09,0.11224555005332404,0.0,0.0,0.0,0.0,0.99999682649408284,3.1471542377274065e-06,1.10807801909058e-08,2.0215686355729656e-09,1.1226655818309116e-08,1.5531984124084149e-09,4.6947629113180645e-10,6.6148474605682749e-18,2.0087113388857324e-18,2.9180851124185825e-19
8.427952306458152e-09,0.11224556378058877,0.0,0.0,0.0,0.0,0.99999658175597661,3.3893494111138176e-06,1.2006916009629121e-08,2.344858771036295e-09,1.2185987913295446e-08,1.8094074772454668e-09,5.4744215328865597e-10,8.5415596790235698e-18,2.6769389386711088e-18,4.1876494077094767e-19
9.030587267930498e-09,0.11224557751014728,0.0,0.0,0.0,0.0,0.99999633696732637,3.6315201201743338e-06,1.2942777510908202e-08,2.6921083903778526e-09,1.3159541215937292e-08,2.0862812611271459e-09,6.3184523066592268e-10,1.0824567971819821e-17,3.4969233784289913e-18,5.861469771026519e-19
9.633222229402844e-09,0.11224559124202206,0.0,0.0,0.0,0.0,0.9999960921278549,3.8736663371598631e-06,1.3888242837491025e-08,3.0633155591804201e-09,1.4147434643432806e-08,2.3840342992548395e-09,7.2278063853019613e-10,1.3497032116880721e-17,4.4892361337686707e-18,8.0278469821248461e-19
9.999999999999999e-09,0.11224560497623508,0.0,0.0,0.0,0.0,0.99999594308781548,4.0210302024057434e-06,1.4468325963133601e-08,3.3009678981564743e-09,1.475575885414197e-08,2.5755649443517011e-09,7.8136457480375004e-10,1.5328493956171849e-17,5.1867270662366399e-18,9.6294245377137502e-19
1.023585719087519e-08,0.11224560497623508,0.0,0.0,0.0,0.0,0.99999584723728707,4.1157880343226925e-06,1.4843193594058176e-08,3.4584783505273679e-09,1.5149783637965126e-08,2.7028784466809767e-09,8.2034427672703607e-10,1.6592567547832321e-17,5.6755695249785567e-18,1.0786482158125155e-18
1.0838492152347535e-08,0.11224561871280808,0.0,0.0,0.0,0.0,0.99999560229535067,4.3578851839163858e-06,1.5807514722720353e-08,3.8775948451151642e-09,1.6166700291090891e-08,3.0430229740096326e-09,9.2463280087990707e-10,2.0145228951170576e-17,7.0787005903684815e-18,1.4249234218199642e-18
1.144112711381988e-08,0.11224563245176267,0.0,0.0,0.0,0.0,0.99999535730177247,4.5999577581957098e-06,1.6781094432983069e-08,4.3206631313142799e-09,1.7198293413709761e-08,3.4046746212626911e-09,1.0357436062235253e-09,2.4189500008172318e-17,8.7224710907150782e-18,1.8540558831781678e-18
1.2043762075292226e-08,0.11224564619311996,0.0,0.0,0.0,0.0,0.99999511225628412,4.8420057294165686e-06,1.7763824075773076e-08,4.7876813052808167e-09,1.8244668661927865e-08,3.7880376946768249e-09,1.1537747984265814e-09,2.8760278390011729e-17,1.0631751828838716e-17,2.3798272518613516e-18
1.2646397036764572e-08,0.1122456599369009,0.0,0.0,0.0,0.0,0.99999486715861696,5.0840290698359379e-06,1.8755598082582351e-08,5.2786474710076494e-09,1.9305928597860631e-08,4.1933141134625662e-09,1.2788251794958978e-09,3.3892871143262665e-17,1.2832426044192058e-17,3.0173937690674601e-18
1.3249031998236918e-08,0.11224567368312617,0.0,0.0,0.0,0.0,0.99999462200850431,5.3260277517118142e-06,1.9756313848538703e-08,5.7935597404276582e-09,2.0382172806461514e-08,4.620703499621925e-09,1.4109942206634316e-09,3.9622987425869411e-17,1.5351357446388999e-17,3.7833578089630706e-18
1.3851666959709263e-08,0.11224568743181627,0.0,0.0,0.0,0.0,0.99999437680568148,5.5680017473031493e-06,2.0765871680700387e-08,6.3324162334552053e-09,2.1473497947182648e-08,5.0704032176837711e-09,1.5503820504179431e-09,4.5986735684340994e-17,1.8216376793286708e-17,4.6958015328617399e-18
1.445430192118161e-08,0.11224570118299129,0.0,0.0,0.0,0.0,0.99999413154988548,5.8099510288698081e-06,2.1784174683778597e-08,6.8952150780856411e-09,2.257999786815424e-08,5.542608462498147e-09,1.6970894280212135e-09,5.3020615370024233e-17,2.1456251410129585e-17,5.774357452040128e-18
1.5056936882653955e-08,0.11224571493667122,0.0,0.0,0.0,0.0,0.9999938862408545,6.0518755686725068e-06,2.2811128712560348e-08,7.4819544104310329e-09,2.3701763653722195e-08,6.0375122958075998e-09,1.851217732504166e-09,6.0761512244670709e-17,2.5100673236760731e-17,7.040239996098278e-18
1.56595718441263e-08,0.11224572869287579,0.0,0.0,0.0,0.0,0.99999364087832809,6.2937753389727613e-06,2.3846642259603998e-08,8.0926323748167348e-09,2.4838883736657885e-08,6.5553057325152312e-09,2.0128689366295911e-09,6.9246690669512779e-17,2.9180229581849402e-17,8.5163153590951574e-18
1.6262206805598643e-08,0.11224574245162444,0.0,0.0,0.0,0.0,0.99999339546204702,6.5356503120328438e-06,2.4890626414002041e-08,8.7272471238100981e-09,2.5991443939363191e-08,7.0961777723739823e-09,2.1821455973459987e-09,7.851379053078124e-17,3.3726393315260805e-17,1.0227129677952618e-17
1.6864841767070987e-08,0.11224575621293645,0.0,0.0,0.0,0.0,0.99999314999175448,6.7775004601157431e-06,2.5942994752740675e-08,9.3857968183130345e-09,2.7159527582420832e-08,7.6603154834283712e-09,2.359150830587796e-09,8.8600820909962666e-17,3.8771495334530668e-17,1.2198977318625496e-17
1.746747672854333e-08,0.1122457699768309,0.0,0.0,0.0,0.0,0.99999290446719391,7.0193257554851172e-06,2.7003663305813212e-08,1.0068279627583862e-08,2.8343215519455105e-08,8.2479040288239171e-09,2.5439883032001243e-09,9.9546157331544657e-17,4.4348716808570108e-17,1.4459925760759738e-17
1.8070111690015675e-08,0.11224578374332662,0.0,0.0,0.0,0.0,0.9999926588881104,7.2611261704052507e-06,2.8072550449938308e-08,1.0774693729326839e-08,2.9542586243326525e-08,8.8591267484335978e-09,2.7367622082824679e-09,1.1138853508412224e-16,5.0492062847624599e-17,1.7039883160815741e-17
1.867274665148802e-08,0.11224579751244228,0.0,0.0,0.0,0.0,0.99999241325425003,7.5029016771410274e-06,2.914957687899969e-08,1.1505037309708144e-08,3.0757715915671946e-08,9.4941651815757647e-09,2.9375772583483899e-09,1.2416704656957154e-16,5.7236356403201937e-17,1.997062051488017e-17
1.9275381612960363e-08,0.11224581128419628,0.0,0.0,0.0,0.0,0.99999216756536136,7.7446522479578865e-06,3.0234665499709067e-08,1.2259308563442754e-08,3.1988678471157497e-08,1.0153199147139444e-08,3.146538661112493e-09,1.3792113490863149e-16,6.4617212965373416e-17,2.3285838752850603e-17
1.9878016574432707e-08,0.11224582505860692,0.0,0.0,0.0,0.0,0.99999192182119312,7.9863778551217857e-06,3.1327741407627877e-08,1.3037505693804634e-08,3.3235545641442081e-08,1.0836406762011144e-08,3.3637521139412486e-09,1.5269059208637261e-16,7.2671036161607585e-17,2.7021188018566974e-17
2.048065153590505e-08,0.11224583883569227,0.0,0.0,0.0,0.0,0.99999167602149475,8.2280784708991849e-06,3.2428731784842904e-08,1.3839626912710984e-08,3.4498387057420704e-08,1.1543964519646245e-08,3.589323780098571e-09,1.6851555276102137e-16,8.1434993456589361e-17,3.1214334313642277e-17
2.1083286497377395e-08,0.11224585261547021,0.0,0.0,0.0,0.0,0.99999143016601788,8.4697540675570005e-06,3.3537565881496312e-08,1.4665670440726927e-08,3.5777270267684954e-08,1.2276047304263627e-08,3.8233602844728062e-09,1.8543649283932655e-16,9.0947013375004725e-17,3.590497594503629e-17
2.168592145884974e-08,0.11224586639795851,0.0,0.0,0.0,0.0,0.99999118425451505,8.7114046173625812e-06,3.4654174915020996e-08,1.5515634507147438e-08,3.7072260839208903e-08,1.3032828468212402e-08,4.0659686901774111e-09,2.0349422315379518e-16,1.0124576200782762e-16,4.1134910029645676e-17
2.2288556420322083e-08,0.1122458801831747,0.0,0.0,0.0,0.0,0.99999093828673891,8.9530300925836802e-06,3.5778492056909744e-08,1.638951734999696e-08,3.8383422370575454e-08,1.38144798421419e-08,4.3172564954925023e-09,2.2272988853936378e-16,1.123706417330462e-16,4.6948046245516864e-17
2.2891191381794427e-08,0.11224589397113609,0.0,0.0,0.0,0.0,0.99999069226244464,9.1946304654884508e-06,3.6910452333200371e-08,1.7287317216109269e-08,3.9710816591414919e-08,1.4621171811401372e-08,4.577331610748016e-09,2.4318496151531708e-16,1.2436176839255173e-16,5.3390473410761607e-17
