Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
2.490923911414787e-06,0.11239770184035416,0.0,0.0,0.0,0.0,0.99720492686314488,0.00060488224006077307,2.4202669676940478e-05,0.0002153162646492399,7.0273022572065063e-05,0.0010052899844428611,0.0008749037811281021,1.3120611696941216e-09,2.0386226416880144e-07
2.521964791040058e-06,0.11240092917771231,0.0,0.0,0.0,0.0,0.99714522655211602,0.00060735608384139311,2.4451978727559593e-05,0.00022048305787840481,7.0973873882424106e-05,0.0010322368224218725,0.00089905644648622393,1.3527764287665111e-09,2.1383186970468976e-07
2.5530056706653287e-06,0.11240417928292913,0.0,0.0,0.0,0.0,0.9970850993582322,0.00060974908550862853,2.4696848019222872e-05,0.00022569100385080019,7.1659861817914761e-05,0.0010594339115475981,0.00092344444091849989,1.3939249925781495e-09,2.2409618043660844e-07
2.5840465502905995e-06,0.11240745166219622,0.0,0.0,0.0,0.0,0.99702455465486106,0.00061206332295262855,2.4937314998483269e-05,0.00023093913863886535,7.2331118921776692e-05,0.0010868757045284325,0.00094806265325942307,1.4354940294703283e-09,2.3465634536024641e-07
2.6461283095411406e-06,0.11241406129503653,0.0,0.0,0.0,0.0,0.99690224971258401,0.00061646368009049882,2.5405206751125431e-05,0.00024155216445421199,7.3630020924551017e-05,0.001142471497531913,0.00099796952991690097,1.519842893807585e-09,2.5666790394174213e-07
2.7020018928666276e-06,0.1124200813030551,0.0,0.0,0.0,0.0,0.99679083930880563,0.000620174899846754,2.581168763491751e-05,0.00025123185754696885,7.4750179101646343e-05,0.0011932901513641565,0.0010436228207491639,1.5970691750754051e-09,2.7749788178707432e-07
2.7578754761921146e-06,0.11242616606316533,0.0,0.0,0.0,0.0,0.99667821712126647,0.00062366192897722801,2.6204611895811823e-05,0.00026102722257562134,7.5825087271946871e-05,0.0012448181430672947,0.0010899449135107913,1.675465310991292e-09,2.9929596937589266e-07
2.8137490595176015e-06,0.11243231291107417,0.0,0.0,0.0,0.0,0.9965644337927293,0.00062693580108546295,2.6584285705480106e-05,0.00027093302409832745,7.6855811258431616e-05,0.0012970254469352718,0.0011369080207638757,1.7549626528051081e-09,3.2206246106039434e-07
2.8696226428430885e-06,0.11243851925736961,0.0,0.0,0.0,0.0,0.99644953865268582,0.0006300072011260284,2.6951032185609965e-05,0.00028094416038562686,7.7843472638263562e-05,0.0013498828102529725,0.0011844850392700055,1.8354947725308559e-09,3.4579596093364905e-07
2.9254962261685755e-06,0.11244478258130311,0.0,0.0,0.0,0.0,0.99633357967316882,0.00063288645589614509,2.7305188077675433e-05,0.00029105567049776362,7.8789237347673573e-05,0.0014033617836148615,0.0012326495809312245,1.916997596572879e-09,3.7049346843165097e-07
