,base.py,chemkin.py,model.py,model.py,poll.py,~,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,1066,77,0,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,removeSpeciesFromEdge,poll,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.species.Species' objects>,<method 'isCyclic' of 'rmgpy.molecule.graph.Graph' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.species.Species' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,,,,
63,1077.678785,1226.261902,1612.278044,789.76617,0.0,0.0,5435.311117,13389.36572,1196.552139,231.87617,3262.513208,653.994831,3912.346672,0.0,2409.064468,1308.402094
64,1083.765714,1228.819905,1618.155192,803.700968,0.0,0.0,5447.210959,13416.058978,1198.805067,233.174275,3277.605249,655.81882,3931.465792,0.0,2415.797759,1313.835535
65,1096.70514,1233.940673,1630.90733,811.836519,0.0,0.0,5496.154615,13469.057774,1203.38786,235.963226,3308.512259,659.289122,3971.729619,0.0,2432.82098,1326.397681
66,1098.840167,1234.967193,1633.316458,820.809821,0.0,0.0,5501.626645,13480.240548,1204.156077,236.324069,3315.949318,660.540798,3978.549786,0.0,2435.939406,1328.620268
67,1100.706535,1235.861003,1634.897069,827.300559,0.0,0.0,5506.776607,13489.886884,1204.540271,236.509827,3322.299321,661.626946,3984.997012,0.0,2438.575965,1330.49319
68,1110.557106,1241.86176,1645.474619,827.300559,0.0,0.0,5522.898957,13562.29356,1210.245546,238.055358,3339.990541,665.354689,4010.722146,0.0,2447.491325,1338.63527
69,1114.76788,1242.53265,1649.713392,841.589044,0.0,0.0,5533.443538,13602.840543,1213.420735,238.551352,3350.234156,666.894066,4025.643426,0.0,2453.949522,1343.405691
70,1129.143221,1245.009985,1665.995794,842.594196,0.0,0.0,5570.36895,13833.59683,1227.679999,240.335056,3411.165732,672.317791,4073.640223,0.0,2477.509967,1360.19708
71,1143.439685,1247.303891,1683.11777,854.58978,0.0,0.0,5628.261406,14053.845554,1242.724029,242.115103,3476.903779,678.954087,4120.883854,0.0,2501.249764,1376.991017
72,1156.483724,1249.505519,1696.786023,855.80969,0.0,0.0,5682.547501,14230.129151,1253.952989,243.68516,3534.12626,685.999827,4164.624425,0.0,2522.471289,1392.121159
73,1173.183237,1252.3404,1714.004031,860.041527,0.0,0.0,5767.958552,14463.554689,1268.953909,245.647334,3612.636242,694.77182,4219.856315,0.0,2549.997272,1411.905105
74,1187.637252,1254.771671,1730.084305,864.896134,0.0,0.0,5846.826592,14656.935308,1283.435518,247.48255,3676.410992,703.410024,4267.983611,0.0,2574.055181,1429.135308
75,1202.130643,1257.221806,1744.91248,868.978191,0.0,0.0,5905.600177,14872.940007,1297.180563,249.176249,3740.984895,712.113089,4315.777139,0.0,2597.840461,1446.51495
76,1217.010615,1259.783878,1760.267167,873.909828,0.0,0.0,5963.760461,15090.945216,1311.186105,250.901417,3808.533458,720.743382,4364.969768,0.0,2622.323658,1463.878108
