Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
0.0007139679229113783,0.16615792471917476,0.0,0.0,0.0,0.0,0.34713061720759314,0.00036311186797032159,0.00013471433437088531,0.076944554158527509,4.9984259644663315e-05,0.24778400014503002,0.28816070357295354,1.9334923418098251e-07,1.1844476505829734e-05,0.035584378989334101,2.9729625938478199e-08,1.5127618446893501e-07,6.0845580117779155e-10,0.00095897821948944743,2.3563343336946112e-06,0.0024488633718729711,3.0502865723626213e-07,0.00042521307021652641
0.0007176846777453026,0.16632205528638966,0.0,0.0,0.0,0.0,0.34586944862150337,0.00036243181508121631,0.00013452071058357959,0.077168661900380409,4.9868581245024609e-05,0.24805023878590984,0.28872840171838987,1.9321516785110082e-07,1.1875964208442748e-05,0.035770787619970004,2.9829892545044971e-08,1.5195935124731945e-07,6.1120360177666849e-10,0.0009666171585447739,2.3694472975846222e-06,0.0024561780724946386,3.0522943442555613e-07,0.0004279187593414543
0.0007214014325792269,0.16648552763205568,0.0,0.0,0.0,0.0,0.34461633900060906,0.00036175519547470452,0.00013432670538006687,0.077391870865446799,4.9753526424109073e-05,0.24831330067368557,0.28929253927928972,1.9307949671885302e-07,1.190720311744206e-05,0.035956822788483764,2.992954322781515e-08,1.5263833683193183e-07,6.1393458497882306e-10,0.00097425359035254204,2.3824970029401943e-06,0.002463444913310766,3.0542390986738321e-07,0.00043062207620132392
0.0007251181874131512,0.16664834611001988,0.0,0.0,0.0,0.0,0.34337121079591826,0.00036108197845292667,0.00013413233632913842,0.077614187449453295,4.9639089469021279e-05,0.24857322275038865,0.28985315018674773,1.9294225430386198e-07,1.1938195172125696e-05,0.036142484670589246,3.0028581760093763e-08,1.533131523490864e-07,6.1664879553597751e-10,0.00098188728880709746,2.3954834049612987e-06,0.0024706642634557655,3.0561217053093384e-07,0.00043332299900422443
0.0007288349422470754,0.16681051503120184,0.0,0.0,0.0,0.0,0.34213398746929485,0.00036041213333880832,0.00013393762068040035,0.077835617980251293,4.9525265011314282e-05,0.24883004143135973,0.29041026793193059,1.9280347346822785e-07,1.1968942159047273e-05,0.036327773464293021,3.0127011917696131e-08,1.5398380812367904e-07,6.1934627497643268e-10,0.00098951803180807939,2.4084064276590033e-06,0.0024778364889024847,3.0579429999372054e-07,0.00043602150660281773
0.0007325516970809997,0.16697203867029625,0.0,0.0,0.0,0.0,0.34090459348839014,0.00035974563040473315,0.00013374257522349951,0.078056168718125915,4.9412047369828709e-05,0.24908379260953808,0.29096392556754075,1.9266318657822945e-07,1.199944603871821e-05,0.036512689389000638,3.0224837430155655e-08,1.54650315980033e-07,6.2202707085941341e-10,0.00099714560082141026,2.4212660574543642e-06,0.0024849619524764362,3.0597038362740773e-07,0.0004387175782617495
0.000736268451914924,0.1671329212490786,0.0,0.0,0.0,0.0,0.33968295428714401,0.00035908243952163631,0.00013354721649166723,0.078275845857687001,4.929943147421192e-05,0.24933451167607051,0.29151415572597078,1.925214252153488e-07,1.2029708490593732e-05,0.03669723268444685,3.0322062036878443e-08,1.5531268603315026e-07,6.2469122386899586e-10,0.0010047697813004941,2.4340622123086205e-06,0.0024920410138804011,3.0614050140908084e-07,0.0004414111939435342
0.0007399852067488483,0.16729316692224824,0.0,0.0,0.0,0.0,0.3384689962580662,0.00035842253179887686,0.00013335156054928448,0.078494655527682006,4.918741166060399e-05,0.24958223352850301,0.29206099062149971,1.9237822059284215e-07,1.2059731505344866e-05,0.036881403608360633,3.0418689409503378e-08,1.559709311713702e-07,6.2733878584403596e-10,0.0010123903619195954,2.4467949104817021e-06,0.0024990740296996867,3.0630473735571997e-07,0.00044410233392723318
0.0007437019615827725,0.16745277996187322,0.0,0.0,0.0,0.0,0.33726264677117063,0.00035776587808829577,0.00013315562307087713,0.078712603792905234,4.9075982942262219e-05,0.24982699255066701,0.29260446204312163,1.9223360304516701e-07,1.2089516760706123e-05,0.037065202442552146,3.051472325374112e-08,1.5662506235767277e-07,6.299698008793088e-10,0.0010200071355040989,2.4594640980434544e-06,0.0025060613534369953,3.0646316940000375e-07,0.00044679097915419872
0.0007474187164166968,0.16761176433742436,0.0,0.0,0.0,0.0,0.33606383411513557,0.00035711245033012869,0.0001329594194544468,0.07892969665427442,4.8965139809893063e-05,0.2500688226558645,0.29314460137884824,1.9208760284758569e-07,1.2119066200631244e-05,0.037248629484621959,3.0610167239851935e-08,1.5727509268074111e-07,6.3258432161948379e-10,0.0010276198979235439,2.4720698024086095e-06,0.0025130033355520135,3.0661587904944243e-07,0.00044947711085614679
