Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
4.262732868404538e-06,0.11260744089747016,0.0,0.0,0.0,0.0,0.99332414349873499,0.00066435658701891975,3.3124738949201772e-05,0.00055341090816205007,9.2666187398879113e-05,0.0028161672797288729,0.0025139279800884791,3.7401157954302312e-09,1.7276601459280817e-08,1.868754631723222e-06,3.0032059518831415e-12,1.4787278813537295e-12,5.947665093013735e-15,9.1213793923309611e-11,1.7226768081774874e-12,3.1295114524317615e-07
4.333697497593474e-06,0.11261649422193935,0.0,0.0,0.0,0.0,0.99315677647915179,0.00066486146836185558,3.3321963383420525e-05,0.00056798406214555487,9.3036872942408376e-05,0.0028955348948190669,0.0025861588464956894,3.8485873040616953e-09,1.7852498745322829e-08,1.9741777570813425e-06,3.1750008910067403e-12,1.571654391560488e-12,6.321429525856314e-15,9.9255669039345779e-11,1.8445672591241137e-12,3.2942800396113201e-07
4.40466212678241e-06,0.11262557465985536,0.0,0.0,0.0,0.0,0.992988932418853,0.00066530482945041571,3.3511993168373007e-05,0.00058259319606548444,9.3384367636883066e-05,0.0029751684968439473,0.0026586529526524539,3.9572125903376597e-09,1.8431351858008176e-08,2.0828693474809312e-06,3.3519923214828622e-12,1.6678347711565375e-12,6.7082815154048599e-15,1.0779450119635739e-10,1.9718572260737257e-12,3.4637262445006501e-07
4.475626755971346e-06,0.11263468050950325,0.0,0.0,0.0,0.0,0.99282064359733857,0.00066569191920357192,3.369523581091092e-05,0.00059723538454909558,9.3710027663575744e-05,0.0030550494010548519,0.0027313926117585267,4.065970171446403e-09,1.9012998351563684e-08,2.1948340822477841e-06,3.5341768492304708e-12,1.7672808801798533e-12,7.1082687645597281e-15,1.1684718259994557e-10,2.1046360963048121e-12,3.6378530993072566e-07
4.546591385160282e-06,0.11264381016667371,0.0,0.0,0.0,0.0,0.99265194042390015,0.00066602759082225573,3.3872078009930496e-05,0.00061190790220356193,9.4015137925741046e-05,0.0031351600406401689,0.0028043611781488585,4.1748405318972836e-09,1.9597289556191118e-08,2.3100756738744661e-06,3.7215504179234435e-12,1.8700037595986863e-12,7.5214356818053817e-15,1.2643064425000343e-10,2.242992254624806e-12,3.8166627295567057e-07
4.617556014349218e-06,0.11265296211957118,0.0,0.0,0.0,0.0,0.99248285153596971,0.00066631632792104364,3.4042886378524964e-05,0.00062660821165173538,9.4300914660437236e-05,0.0032154839061396077,0.0028775429919349828,4.2838062603067242e-09,2.0184089685838772e-08,2.4285969566242598e-06,3.9141081527692116e-12,1.9760137809261525e-12,7.9478239829630885e-15,1.3656185181542217e-10,2.3870131975717687e-12,4.0001564463434629e-07
4.688520643538154e-06,0.11266213494392292,0.0,0.0,0.0,0.0,0.99231340389367795,0.00066656226933569252,3.4208008194084356e-05,0.00064133395207027365,9.4568508130085595e-05,0.00329600548725813,0.002950923325754899,4.3928517654323248e-09,2.0773274962397777e-08,2.5503999688699258e-06,4.1118446292597397e-12,2.0853207438179206e-12,8.3874730837484383e-15,1.4725780213693825e-10,2.5367856456600899e-12,4.1883348308454059e-07
4.7594852727270895e-06,0.11267132729828616,0.0,0.0,0.0,0.0,0.99214362287055913,0.00066676923261561741,3.436777216502792e-05,0.00065608292824145343,9.48190053583721e-05,0.0033767102171229427,0.0030244883336821315,4.5019628489985053e-09,2.1364732768402138e-08,2.6754860294386048e-06,4.3147541871768349e-12,2.1979339380999793e-12,8.8404203492798048e-15,1.5853552027888643e-10,2.6923956476066644e-12,4.3811978114266428e-07
4.8304499019160255e-06,0.11268053791955403,0.0,0.0,0.0,0.0,0.99197353234037244,0.00066694073622054263,3.4522489205077237e-05,0.00067085310012348373,9.5053432880220506e-05,0.0034575844189984701,0.0030982250023184042,4.6111269381115566e-09,2.1958360856316176e-08,2.8038558082298282e-06,4.5228306465893841e-12,2.3138622606022507e-12,9.3067015639687269e-15,1.7041205705605178e-10,2.8539286724244191e-12,4.5787447332510653e-07
4.9014145311049614e-06,0.11268976561866144,0.0,0.0,0.0,0.0,0.99180315476006353,0.00066708002045193086,3.4672453208001512e-05,0.00068564257293813073,9.527275948086579e-05,0.0035386152554497861,0.0031721211040697255,4.7203329135676634e-09,2.2554066593866806e-08,2.9355093914258483e-06,4.736067493382977e-12,2.4331143077247291e-12,9.7863513038391974e-15,1.8290448702251546e-10,3.0214696990861139e-12,4.7809744217143212e-07
