Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
0.00012292521210254984,0.1264336275712036,0.0,0.0,0.0,0.0,0.76788057864124082,0.00057202929220392538,0.00011078350941730783,0.021902869615441533,8.2157703092151373e-05,0.10526637429112017,0.10089947710504227,1.301008045364958e-07,2.2242624248500498e-06,0.003283356631322904,4.3166622770147822e-09,1.4473014635609988e-08,5.8212616634234669e-11
0.00012420919264780717,0.126564855276605,0.0,0.0,0.0,0.0,0.76599874912464416,0.00057120490189225485,0.00011124099337075582,0.022100267294692767,8.2025209206344741e-05,0.10607081251940065,0.10172181196186801,1.3090611002477372e-07,2.2546141388101767e-06,0.0033414832458037616,4.3867512582939696e-09,1.4782663241380231e-08,5.945806937116863e-11
0.0001254931731930645,0.1266957564415887,0.0,0.0,0.0,0.0,0.76412590757286269,0.00057038398615456268,0.00011169345190378284,0.022297078086532734,8.1893365367436742e-05,0.10687043847222098,0.10254024765727544,1.3170342150624697e-07,2.2850094344229399e-06,0.0033999210821180331,4.4570551134524912e-09,1.5094939203158947e-08,6.0714089724753401e-11
0.00012677715373832183,0.12682633273157803,0.0,0.0,0.0,0.0,0.76226198508388976,0.00056956652051560282,0.00011214094128431427,0.022493305278988008,8.176216573470479e-05,0.10766529155931687,0.1033548142426577,1.324928254633524e-07,2.3154464778377438e-06,0.0034586662689453122,4.5275682222969352e-09,1.540981573889604e-08,6.1980569973596558e-11
0.00012806113428357916,0.12695658580047892,0.0,0.0,0.0,0.0,0.76040691346960299,0.00056875248074686534,0.00011258351768888765,0.022688952129960215,8.1631603875726732e-05,0.10845541077764519,0.10416554145654346,1.3327440716218767e-07,2.3459235123433101e-06,0.0035177149772091815,4.5982850473802825e-09,1.5727265670120767e-08,6.3257400801851096e-11
0.0001293451148288365,0.12708651730063336,0.0,0.0,0.0,0.0,0.75856062523371548,0.00056794184276037405,0.00011302123602154259,0.022884021867524456,8.1501674018322835e-05,0.10924083472574349,0.10497245873389306,1.3404825075235424e-07,2.3764387774304894e-06,0.0035770634182882804,4.6692001455943819e-09,1.6047262118693118e-08,6.4544474101634378e-11
0.00013062909537409382,0.12721612881821354,0.0,0.0,0.0,0.0,0.75672305375933535,0.00056713458295187618,0.00011345415130402416,0.023078517692769054,8.1372369395680107e-05,0.11002160147268071,0.10577559512281595,1.3481443950368183e-07,2.4069905989304013e-06,0.0036367078677811077,4.7403081519496692e-09,1.6369777999725147e-08,6.5841680933509009e-11
0.00013191307591935115,0.12734542199453563,0.0,0.0,0.0,0.0,0.75489413308428877,0.00056633067780952767,0.00011388231665618281,0.023272442777505856,8.1243684629343094e-05,0.11079774871285809,0.10657497938396494,1.3557305509448023e-07,2.4375772814850659e-06,0.0036966446384115604,4.8116038382393725e-09,1.669478638732434e-08,6.7148912997523869e-11
0.00013319705646460848,0.12747439842725905,0.0,0.0,0.0,0.0,0.75307379794597817,0.00056553010396584924,0.00011430578497534649,0.023465800265395072,8.11156138893296e-05,0.11156931373317081,0.10737063997128873,1.3632417851643525e-07,2.4681971710290574e-06,0.0037568700861784756,4.8830820235736857e-09,1.7022260502701963e-08,6.8466062585408953e-11
0.0001344810370098658,0.1276030596713001,0.0,0.0,0.0,0.0,0.75126198379056852,0.00056473283828431184,0.00011472460847436182,0.023658593272511946,8.0988151363369271e-05,0.1123363334057849,0.10816260502762577,1.3706788957528703e-07,2.4988486518369529e-06,0.0038173806121412543,4.9547376228920004e-09,1.7352173482634193e-08,6.9793021649284156e-11
0.00013576501755512314,0.1277314072919975,0.0,0.0,0.0,0.0,0.74945862673733554,0.00056393885785791388,0.00011513883860710948,0.023850824887319388,8.0861291398881936e-05,0.11309884421190276,0.10895090240049488,1.3780426706184801e-07,2.5295301325570187e-06,0.0038781726584899961,5.0265656336342396e-09,1.7684498556831321e-08,7.1129682515062479e-11
0.00013704899810038047,0.12785944287440346,0.0,0.0,0.0,0.0,0.74766366362541004,0.00056314814001310394,0.00011554852606911412,0.024042498171845672,8.0735028425866145e-05,0.11385688220812626,0.1097355596212243,1.3853338871227249e-07,2.5602400514765193e-06,0.0039392427151993372,5.0985611435208777e-09,1.8019209022337845e-08,7.2475937779485655e-11
0.00013961695919089513,0.12811458400493556,0.0,0.0,0.0,0.0,0.74409866992094986,0.00056157640238996016,0.00011635447239286027,0.024424181865236337,8.048427155359398e-05,0.11535968204874773,0.11129406226657614,1.3997017041725363e-07,2.6217390960185748e-06,0.0040622030289752895,5.2430354162148525e-09,1.869567964115269e-08,7.5196803201230508e-11
0.00014218492028140979,0.12836849521354846,0.0,0.0,0.0,0.0,0.74056651074871294,0.00056001744818731365,0.00011714283939933824,0.024803668323781534,8.0235837781164111e-05,0.11684501357038093,0.11283832735223935,1.4137883659545789e-07,2.6833338445374002e-06,0.0041862343193856703,5.3881227690018535e-09,1.9381373183118918e-08,7.7954764591695873e-11
0.00014475288137192444,0.12862118840578188,0.0,0.0,0.0,0.0,0.73706670446394074,0.00055847110337899303,0.00011791400858417821,0.025180981108256454,7.9989685398417949e-05,0.11831315141392085,0.11436856475549258,1.4275997375228733e-07,2.7450127764984443e-06,0.0043113099976628518,5.53378676898515e-09,2.0076078774004111e-08,8.0748973783357773e-11
0.0001473208424624391,0.12887267539244443,0.0,0.0,0.0,0.0,0.73359877942494733,0.00055693719706356151,0.00011866835125635881,0.025556143379382681,7.9745773886473055e-05,0.11976436438212582,0.11588497996627872,1.4411415344684656e-07,2.806764775371763e-06,0.0044374041029723111,5.6799921814660822e-09,2.0779586959070655e-08,8.3578588318111016e-11
0.00014988880355295376,0.12912296767117842,0.0,0.0,0.0,0.0,0.73016227375220855,0.00055541556144092865,0.00011940622885332174,0.025929177908178835,7.9504063838765589e-05,0.12119891557688567,0.1173877741933556,1.4544193276068347e-07,2.8685791160156032e-06,0.0045644912893519915,5.8267049334048586e-09,2.1491689837023388e-08,8.6442771986026863e-11
0.00015245676464346842,0.12937207661141123,0.0,0.0,0.0,0.0,0.72675673507616878,0.00055390603176622372,0.00012012799325987361,0.026300107085690753,7.9264516941434326e-05,0.12261706254554178,0.11887714447543271,1.4674385471259384e-07,2.93044545170283e-06,0.0046925468104780455,5.9738920774190717e-09,2.2212181176330699e-08,8.9340695293213819e-11
0.00015759268682449774,0.1298667889792853,0.0,0.0,0.0,0.0,0.72003679519932773,0.00055092264613425918,0.00012152454426860277,0.027035737105224101,7.8791764535762944e-05,0.12540514715819165,0.12181638120898566,1.4927223091614589e-07,3.0542945350564136e-06,0.0049514667642552917,6.2695631391706397e-09,2.3677513269261013e-08,9.5234478873720357e-11
0.00016272860900552706,0.13035689968689276,0.0,0.0,0.0,0.0,0.71343552127059073,0.00054798578075324501,0.00012286064033500659,0.027763205305894052,7.8327230450745113e-05,0.12813057326078081,0.1247041873837518,1.5170336113038516e-07,3.1782363245343054e-06,0.0052139773457712726,6.5667628317998939e-09,2.5173970441019908e-08,1.0125345215087122e-10
0.00016786453118655637,0.13084249312032611,0.0,0.0,0.0,0.0,0.70694961099618236,0.00054509422086309971,0.00012413878376652104,0.028482678029039411,7.787064339770142e-05,0.1307952164061969,0.12754200052178222,1.5404112561703812e-07,3.3022003584276578e-06,0.0054799004846602245,6.8652642567556366e-09,2.669997212547715e-08,1.0739125785262032e-10
0.0001730004533675857,0.13132365113621872,0.0,0.0,0.0,0.0,0.70057589119284713,0.00054224679448116751,0.0001253613513949652,0.029194316342198788,7.7421745949878367e-05,0.13340087684650132,0.13033120158848105,1.5628921747868269e-07,3.4261210484789614e-06,0.0057490661954109823,7.164855111011368e-09,2.8253972036805882e-08,1.1364167658739883e-10
0.000178136375548615,0.13180045292806364,0.0,0.0,0.0,0.0,0.69431131120465972,0.00053944237074348138,0.00012653060243317737,0.029898276277291084,7.6980293522491182e-05,0.13594928339800921,0.13307311789263196,1.5845115358607575e-07,3.5499373602159528e-06,0.006021312152399769,7.4653367313692076e-09,2.9834459813453449e-08,1.199986334564103e-10
0.00018327229772964433,0.1322729754052463,0.0,0.0,0.0,0.0,0.68815293671859568,0.00053667985808670637,0.00012764868548239644,0.030594709054241127,7.6546053609711405e-05,0.13844209707510349,0.13576902581011938,1.6053028458207172e-07,3.6735924954142727e-06,0.0062964832890398713,7.7665232106219912e-09,3.1439962298933118e-08,1.264562032051659e-10
0.00018840821991067364,0.1327412931520177,0.0,0.0,0.0,0.0,0.68209794393587053,0.00053395820266836144,0.00012871764526131393,0.031283761290470821,7.6118804780819316e-05,0.14088091451993062,0.1384201533504601,1.6252980434767732e-07,3.7970336245434562e-06,0.0065744314168349862,8.0682405603939459e-09,3.3069044354459536e-08,1.3300861349202511e-10
0.00019354414209170296,0.13320547856488996,0.0,0.0,0.0,0.0,0.6761436140988526,0.00053127638662294353,0.00012973942851292328,0.031965575198353594,7.5698336192094325e-05,0.14326727122353758,0.14102768256593509,1.6445275888031384e-07,3.9202115873815815e-06,0.0068550148673611304,8.3703259509555263e-09,3.4720309677066884e-08,1.3965024817878839e-10
0.00019868006427273228,0.1336656019505803,0.0,0.0,0.0,0.0,0.67028732838973615,0.00052863342695138075,0.00013071589020048456,0.03264028877108538,7.5284446470328284e-05,0.14560264452643293,0.14359275179599235,1.6630205442857928e-07,4.0430807176785383e-06,0.0071380981589554086,8.6726269812943605e-09,3.6392400889209068e-08,1.4637564769108362e-10
0.0002038159864537616,0.13412173160920457,0.0,0.0,0.0,0.0,0.66452656312729041,0.00052602837337584012,0.00013164879795897149,0.033308035959385328,7.4876943924798438e-05,0.1478884564420776,0.14611645778008486,1.6808046531235806e-07,4.1655984923587147e-06,0.0074235516847635102,8.9750010474498109e-09,3.8084000464132146e-08,1.5317951274034956e-10
0.00020895190863479092,0.13457393394685677,0.0,0.0,0.0,0.0,0.65885888529159808,0.00052346030826286869,0.00013253983853631134,0.033968946836257216,7.4475644393501674e-05,0.15012607628897756,0.14859985762513059,1.6979064074073548e-07,4.2877255588648463e-06,0.0077112514194438335,9.2773146633232322e-09,3.9793829013192664e-08,1.600566974351802e-10
