Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
1.1438911498003749e-10,0.11224537460025255,0.0,0.0,0.0,0.0,0.99999995366821071,4.6033977529176372e-08,1.4848363791126912e-10,4.3231566843167682e-13,1.4848918834286917e-10,3.1280683670354932e-13,9.3873786689227768e-14,7.8423119404331994e-25,5.0392131218375156e-25,1.5717933843848876e-27,6.6598497785233256e-39,1.9011538744543546e-41,7.4886418903275717e-44,3.342694823258336e-44,7.5308069273855229e-45,1.4974833762989506e-27,6.1682122813217326e-29,3.7183235376463935e-41
1.847824167931045e-10,0.11224537620044284,0.0,0.0,0.0,0.0,0.99999992515550784,7.4362148064480974e-08,2.4006977357308662e-10,1.1278047454363149e-12,2.4008499790321751e-10,8.1657426360075148e-13,2.4505972582630164e-13,5.3915659132695333e-24,2.4491091253602709e-24,1.2472230769001689e-26,1.5302463915457287e-37,4.4837956747140525e-40,1.7816515948314815e-42,1.3698440365681514e-42,3.0850274194320071e-43,1.7193278599257326e-26,7.0419463272943943e-28,1.4652633608019116e-39
2.481363884248648e-10,0.11224537764063698,0.0,0.0,0.0,0.0,0.99999989949353207,9.9857220578398085e-08,3.2263490772188359e-10,2.0335709380609524e-12,3.2266343119399657e-10,1.4731599187107512e-12,4.421127136496544e-13,1.6217504001730809e-23,6.3125141545621913e-24,3.9961055687965364e-26,7.5295157653564327e-37,2.3594990288580263e-39,9.3889444463054935e-42,8.0613457089861375e-42,1.8153445707209356e-42,6.321494121647082e-26,2.5823921742067398e-27,8.1745979438713464e-39
3.1149036005662514e-10,0.11224537908085258,0.0,0.0,0.0,0.0,0.99999987383104216,1.2535202687652008e-07,4.0533018236649788e-10,3.2044337813202985e-12,4.0537681091850596e-10,2.3225749252868017e-12,6.9704375868156049e-13,3.8421460244710434e-23,1.3354621556401516e-23,1.0119799619536141e-25,2.6088345894325185e-36,8.7086323114864858e-39,3.4712139375944793e-41,3.4635872482237221e-41,7.7986258571696419e-42,1.7875333767493001e-25,7.2810443074238537e-27,3.3166037778088736e-38
3.7484433168838546e-10,0.11224538052108994,0.0,0.0,0.0,0.0,0.99999984816803689,1.5084656692790137e-07,4.8815539609792712e-10,4.6403912434308669e-12,4.882253356354545e-10,3.3651083513250584e-12,1.0099429609619806e-12,7.7732886300315471e-23,2.4828580021172257e-23,2.1772333968043657e-25,7.5218439767528584e-36,2.642379010718394e-38,1.0541500492690982e-40,1.1658903308039412e-40,2.624826624562375e-41,4.181149349412704e-25,1.6984130934121232e-26,1.0646009125614235e-37
4.381983033201458e-10,0.11224538196134896,0.0,0.0,0.0,0.0,0.99999982250451636,1.7634084070041309e-07,5.7111033952449168e-10,6.3414410835153202e-12,5.7120921164064877e-10,4.6010609380644162e-12,1.3809043384348843e-12,1.4116445457544973e-22,4.2228059728877375e-23,4.1956717154498919e-25,1.8759103988452842e-35,6.8742583596830578e-38,2.7445242663778732e-40,3.3268392443589633e-40,7.489075091069394e-41,8.6128274066644048e-25,3.4891747320374978e-26,2.91783607759915e-37
5.649062465836664e-10,0.1122453848419322,0.0,0.0,0.0,0.0,0.99999977117592775,2.2732858929383009e-07,7.3740866713957461e-10,1.0538809565799897e-11,7.3758375442778347e-10,7.6543000742153504e-12,2.2973516477414761e-12,3.7180455465905147e-22,1.0131436257513272e-22,1.2356881273714084e-24,8.7119809081734117e-35,3.4151621351598904e-37,1.36522249183362e-39,1.958100631307064e-39,4.4069222444097073e-40,2.8010387167934562e-24,1.1286447654436051e-25,1.6030184083491682e-36
6.916141898471871e-10,0.11224538772260247,0.0,0.0,0.0,0.0,0.99999971984527358,2.7831527240061384e-07,9.0422350178661808e-10,1.5796520705673956e-11,9.0450207731222621e-10,1.1484687481781481e-11,3.4471393672722201e-12,8.055259010082207e-22,2.061864563188291e-22,2.9595053486247053e-24,2.8808871592578101e-34,1.1938958395759275e-36,4.7762522191245473e-39,7.7438045076314936e-39,1.7425224931215517e-39,7.1806333060638208e-24,2.8791747371113844e-25,6.0507163074556841e-36
8.183221331107077e-10,0.1122453906033601,0.0,0.0,0.0,0.0,0.99999966851255084,3.2930088975043865e-07,1.0715530970721872e-09,2.2114554869290882e-11,1.0719658997691692e-09,1.6094744149877231e-11,4.8310653688784786e-12,1.5362243330416944e-21,3.7634623515596476e-22,6.2103979426771469e-24,7.9017725481285711e-34,3.4376475155795884e-36,1.3760740335438416e-38,2.4843478772336262e-38,5.5893366763833398e-39,1.5847786055489268e-23,6.3234076191360545e-25,1.8590313380137774e-35
9.450300763742283e-10,0.11224539348420534,0.0,0.0,0.0,0.0,0.99999961717775643,3.8028544107784239e-07,1.2393957496288808e-09,2.9492892697687125e-11,1.2399768986113932e-09,2.1486937042457408e-11,6.4499162060551837e-12,2.6732920140115787e-21,6.348112407608757e-22,1.1866140836931729e-23,1.9195385183504643e-33,8.6894634500039789e-36,3.480215205372497e-38,6.9739894617833223e-38,1.5687305071312879e-38,3.1477798403952371e-23,1.2496179903834753e-24,5.0156842957481484e-35
9.999999999999999e-10,0.11224539636513847,0.0,0.0,0.0,0.0,0.99999959490645007,4.0240382451502595e-07,1.3123703713301365e-09,3.302362138794431e-11,1.3130359888471635e-09,2.4070104563093847e-11,7.2254851151976159e-12,3.3237301030026451e-21,7.8102147579814475e-22,1.5362928108635966e-23,2.7475866598937881e-33,1.263314025461175e-35,5.060795990799145e-38,1.0646831312291467e-37,2.3946716298973694e-38,4.1332008610855261e-23,1.6369543591533712e-24,7.5296259787933784e-35
1.0717380196377488e-09,0.11224539636513847,0.0,0.0,0.0,0.0,0.99999956584088767,4.3126892612486504e-07,1.4077498160417539e-09,3.7931515368377442e-11,1.4085366913981407e-09,2.7663654365937337e-11,8.3044590095363829e-12,4.3386069924438347e-21,1.0077983672429503e-21,2.1096610779902705e-23,4.2429059917718074e-33,1.9841266399085227e-35,7.9502318386626198e-38,1.7653824929517083e-37,3.9702572048208564e-38,5.7668506502065189e-23,2.2771861740414475e-24,1.2265500010352884e-34
1.32515390616479e-09,0.1122454021272693,0.0,0.0,0.0,0.0,0.9999994631609157,5.3323269634677079e-07,1.7459856706539196e-09,5.7989540237367352e-11,1.7473090753148758e-09,4.238016944368381e-11,1.2723697008001739e-11,9.791766354291421e-21,2.2176968765109375e-21,5.6694066455448983e-23,1.6838613187000133e-32,8.3428797745664904e-35,3.3455260399076427e-37,9.3827767335099466e-37,2.1088429888800828e-37,1.6131859220360303e-22,6.2959044573830037e-24,6.1016971114568238e-34
1.5426204743957979e-09,0.11224540707227271,0.0,0.0,0.0,0.0,0.99999937504037728,6.207285876368866e-07,2.0378557145052946e-09,7.858332940167361e-11,2.0397884382051845e-09,5.7532808656305654e-11,1.7274782129631539e-11,1.7475193259327376e-20,3.9220101371731815e-21,1.1595456833838228e-22,4.4856463119510373e-32,2.3151161107751799e-34,9.2875940962120328e-37,3.0235580139921177e-36,6.7926523492354216e-37,3.3660401092714246e-22,1.3005650171356837e-23,1.8892940057185924e-33
1.7600870426268056e-09,0.11224541201753833,0.0,0.0,0.0,0.0,0.99999928691368922,7.08221334495224e-07,2.3312098308138731e-09,1.0230005956213152e-10,2.3339063440026754e-09,7.5029119036758059e-11,2.2530832701182488e-11,2.8802426115480553e-20,6.4522258014919664e-21,2.1654689169845301e-22,1.0464277906190408e-31,5.6144640118689976e-34,2.2530662594083864e-36,8.3351648039136373e-36,1.8717274941547449e-36,6.35731977729048e-22,2.4318675926012258e-23,5.0215384046890645e-33
1.9775536108578134e-09,0.11224541696306757,0.0,0.0,0.0,0.0,0.99999919878083732,7.9571093561597763e-07,2.6260399932336346e-09,1.2913963598684044e-10,2.6296706876824058e-09,9.4880963755498969e-11,2.8495798599879451e-11,4.4667543824713285e-20,1.0036363702941496e-20,3.7684369057456263e-22,2.2085122815390596e-31,1.2285031715693759e-33,4.9311270415308091e-36,2.0359525850629952e-35,4.5699437945315967e-36,1.1122186400416675e-21,4.2124508194153329e-23,1.1862378014232521e-32
