Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
0.0002641833312820232,0.13923648653189977,0.0,0.0,0.0,0.0,0.60237677019628266,0.0004889580570193433,0.00013570583494270684,0.040279893339744889,6.8714372286864551e-05,0.17061375354307215,0.17411729379885071,1.7365494117015857e-07,5.2590739779621576e-06,0.010604801853251857,1.2380650304308969e-08,3.8803202189526155e-08,1.5607249463536641e-10,0.00012978384311618951,4.4850951864476374e-07,0.00094233723070864274,1.620089376429598e-07,0.00015683351098761035,3.3713489054911497e-08,2.3639087305857434e-05,3.5056147215969413e-05,2.0330882473282701e-05,1.951907605001492e-12
0.0002662577186686676,0.13939846518806379,0.0,0.0,0.0,0.0,0.60049939956610221,0.00048808838918106364,0.00013581962259307361,0.040515152632108163,6.8544912344834446e-05,0.17129979952267899,0.17494481662034517,1.7406950365598524e-07,5.2987302770863434e-06,0.010721042374765462,1.2495392349502334e-08,3.9307148724218507e-08,1.5809944572887003e-10,0.00013222153527410804,4.5568417481421584e-07,0.00095011942080450759,1.6293862933420911e-07,0.00015890779170803779,3.4052647660929476e-08,2.3836218226719481e-05,3.5504589699279551e-05,2.0569366298678702e-05,1.9964497932384543e-12
0.0002704064934419563,0.1397206715240114,0.0,0.0,0.0,0.0,0.59677945482164074,0.00048636310862928815,0.00013603474132230085,0.04098310375960338,6.8208832540724181e-05,0.17265465253480075,0.1765845802394039,1.7487842384210053e-07,5.3775425961268149e-06,0.010953816051441984,1.2724088330024829e-08,4.0317045940493809e-08,1.6216140890554876e-10,0.00013715563168159131,4.7012368726163271e-07,0.00096560632479387608,1.6477192875253336e-07,0.00016307000658163627,3.4728357097191177e-08,2.4228132973560673e-05,3.6404433895513403e-05,2.1046130314973149e-05,2.0870755394212359e-12
0.000274555268215245,0.1400405683886334,0.0,0.0,0.0,0.0,0.59310516001115721,0.00048465626039217893,0.00013623373074100233,0.041447674229749772,6.7876488652238179e-05,0.17398692851281686,0.17820429273232974,1.7566103364345786e-07,5.4556871476316725e-06,0.011186951791078637,1.2951713353292731e-08,4.1329350505988417e-08,1.6623305481422443e-10,0.00014216700069345485,4.8467884575190788e-07,0.00098098958791772366,1.6657085233844285e-07,0.00016724967155594487,3.5400505228106686e-08,2.4616909554474177e-05,3.7308082568625408e-05,2.1522542930702815e-05,2.1797456485878236e-12
0.0002787040429885337,0.14035818517577844,0.0,0.0,0.0,0.0,0.58947564096015115,0.0004829674844547066,0.00013641714751331613,0.041908914152596073,6.7547820501668069e-05,0.17529710559850184,0.17980433519940708,1.7641806676056477e-07,5.5331634471223563e-06,0.011420416973335921,1.3178244809037768e-08,4.2343753228930449e-08,1.7031313983764741e-10,0.00014725442527061254,4.9934419042285073e-07,0.00099626887854005041,1.6833588581380264e-07,0.00017144591032758512,3.6068997907050048e-08,2.5002539926980257e-05,3.8215371581594107e-05,2.1998512717962018e-05,2.274446638167424e-12
0.0002828528177618224,0.1406735511194771,0.0,0.0,0.0,0.0,0.58589004602935413,0.00048129643121197025,0.00013658552773705923,0.042366872490105276,6.7222768868149921e-05,0.17658564895110546,0.1813850789973333,1.7715023314184704e-07,5.6099714353450511e-06,0.011654180204097661,1.3403661788402445e-08,4.3359954638497305e-08,1.7440045945773337e-10,0.00015241668430140558,5.1411436060635995e-07,0.0010114439453652697,1.7006751691713972e-07,0.00017565787857541149,3.6733748624916347e-08,2.5385018607983889e-05,3.9126142575617366e-05,2.2473953078678282e-05,2.3711644264564258e-12
0.0002870015925351111,0.14098669460133406,0.0,0.0,0.0,0.0,0.58234754538782385,0.00047964276102545268,0.00013673938777296259,0.042821597090776299,6.69012754967726e-05,0.17785301118573665,0.18294688604982715,1.7785821992617119e-07,5.6861114367101923e-06,0.011888211264651932,1.3627944981378241e-08,4.4377664718306552e-08,1.7849384718362241e-10,0.00015765255400648813,5.289840958381635e-07,0.0010265146116942576,1.7176623407187589e-07,0.0001798847627170574,3.7394677960270894e-08,2.576434248780138e-05,4.0040242737997369e-05,2.2948782007400016e-05,2.4698844021229842e-12
0.0002911503673083998,0.14129764363394148,0.0,0.0,0.0,0.0,0.57884733035116498,0.00047800614385632318,0.0001368792250352207,0.043273134723158566,6.658328307649891e-05,0.17909963276534469,0.1844901091309876,1.7854269224668612e-07,5.7615841427319257e-06,0.012122481069366307,1.385107660095053e-08,4.5396602734289181e-08,1.8259217385935829e-10,0.00016296080909918874,5.4394823699481558e-07,0.0010414807707330338,1.7343252590358387e-07,0.00018412577885081941,3.8051713275759325e-08,2.6140510676288827e-05,4.0957524606066766e-05,2.3422921891192054e-05,2.5705914455589823e-12
0.0002952991420816885,0.1416064256975035,0.0,0.0,0.0,0.0,0.57538861274917941,0.00047638625893221207,0.0001370055187485678,0.043721531108329444,6.6268735254274588e-05,0.18032594237258323,0.18601509213643819,1.7920429406526768e-07,5.8363905844845133e-06,0.012356961626746052,1.4073040307627787e-08,4.6416497019944741e-08,1.8669434680015157e-10,0.00016834022377749589,5.5900172603328837e-07,0.0010563423814810881,1.7506688048789696e-07,0.00018838017177395138,3.870478831878175e-08,2.6513524364240446e-05,4.1877845891569937e-05,2.3896299321858013e-05,2.6732699774797327e-12
0.0002994479168549772,0.1419130677527228,0.0,0.0,0.0,0.0,0.57197062426572765,0.0004747827943828183,0.00013711873075703511,0.044166830950775296,6.5957576650368209e-05,0.18153235730906034,0.18752217036542734,1.7984364897257302e-07,5.9105321092723777e-06,0.012591625992528581,1.4293821125509495e-08,4.7437084788020192e-08,1.9079930903492259e-10,0.00017378957304235658,5.7413960785520463e-07,0.0010710994635647528,1.7666978459499879e-07,0.00019264721381488846,3.9353842849960868e-08,2.6883386651302955e-05,4.2801069271957012e-05,2.4368844868477951e-05,2.7779039983495081e-12
0.0003035966916282659,0.1422175963153906,0.0,0.0,0.0,0.0,0.56859261581992393,0.00047319544691189555,0.00013721930620318811,0.044609077968403896,6.5649752841890317e-05,0.18271928386421196,0.18901167078606559,1.8046136091448308e-07,5.9840103613462201e-06,0.01282644822879697,1.4513405371904962e-08,4.8458111923107817e-08,1.9490603847209827e-10,0.00017930763371611043,5.8935703007348911e-07,0.0010857520930267054,1.7824172323136548e-07,0.00019692620379539131,3.9998822332462691e-08,2.7250102409270519e-05,4.3727062202339725e-05,2.4840492885224736e-05,2.8844771046007351e-12
0.0003077454664015546,0.14252003739009758,0.0,0.0,0.0,0.0,0.56525385697312802,0.00047162392147063494,0.00013730767418388684,0.045048314921546866,6.5345210361706182e-05,0.18388711766717075,0.1904839122897827,1.8105801493594081e-07,6.0568272545517532e-06,0.013061403365714219,1.4731780585001365e-08,4.9479332757324418e-08,1.9901354699735884e-10,0.00018489318534719651,6.0464924266242329e-07,0.0011003003985266763,1.7978317889900496e-07,0.00020121646604872041,4.063967754740046e-08,2.7613678157787296e-05,4.4655696738095182e-05,2.5311181334128914e-05,2.9929725364689163e-12
0.0003118942411748433,0.14282041653785152,0.0,0.0,0.0,0.0,0.56195363536081966,0.00047006793097751205,0.00013738424842949242,0.045484583640930859,6.5043896683585965e-05,0.18503624402301069,0.19193920593518035,1.8163417787599777e-07,6.1289849581730132e-06,0.01329646736529605,1.4948935460701951e-08,5.0500509876015181e-08,2.0312087969214887e-10,0.00019054501105028222,6.2001159866637334e-07,0.0011147445578064054,1.8129463123854303e-07,0.00020551734948425217,4.1276364331821672e-08,2.7974121947418435e-05,4.5586849367565661e-05,2.578085161625906e-05,3.1033732118213898e-12
0.000316043015948132,0.14311875885568362,0.0,0.0,0.0,0.0,0.55869125613865245,0.00046852719602270766,0.00013744942792496436,0.045917925054604458,6.4745760234842449e-05,0.18616703824165037,0.19337785518576459,1.8219039899991629e-07,6.2004858802716602e-06,0.013531617085499662,1.5164859793651629e-08,5.1521413945188804e-08,2.0722711413959453e-10,0.00019626189836300382,6.3543955318306457e-07,0.0011290847941779997,1.8277655672436688e-07,0.00020982822666285465,4.1908843308477582e-08,2.8331443242001384e-05,4.6520400848992361e-05,2.6249448402047971e-05,3.2156617354059804e-12
0.0003201917907214207,0.14341508899940247,0.0,0.0,0.0,0.0,0.55546604144601486,0.00046700144459796623,0.00013750359748643305,0.046348379213872928,6.4450750378940226e-05,0.18727986595653795,0.19480015614024415,1.8272721066064466e-07,6.2713326459460453e-06,0.013766830245373783,1.5379544413235608e-08,5.2541823479074312e-08,2.1133135948958075e-10,0.00020204264005838275,6.5092866328683044e-07,0.001143321373159218,1.8422942808235534e-07,0.00021414849289104907,4.253707956485903e-08,2.8685652809814148e-05,4.745623604762234e-05,2.6716919470330667e-05,3.3298204423390352e-12
0.0003243405654947094,0.14370943118675003,0.0,0.0,0.0,0.0,0.55227732988838651,0.00046549041181339739,0.00013754712833178071,0.046775985318366277,6.4158817402746107e-05,0.18837508343142581,0.19620639775493554,1.8324512891146104e-07,6.3415280798456498e-06,0.014002085391836902,1.559298112594567e-08,5.3561524606837512e-08,2.1543275552044973e-10,0.00020788603488322942,6.6647458769921228e-07,0.0011574545993658005,1.856537138744852e-07,0.00021847756535647972,4.3161042381195351e-08,2.9036762621215209e-05,4.8394243781840822e-05,2.7183215555528973e-05,3.4458314310198268e-12
