,base.py,chemkin.py,model.py,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getLabeledAtoms' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getSymmetryNumber' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,
58,1700.517132,1173.190002,1510.219818,0.0,8759.618544,22837.615299,2010.520625,10153.767652,5606.606311,8880.796682,0.0,3988.348414,2050.595018
59,1708.9987,1180.020273,1517.196409,0.0,8770.816876,22876.427001,2018.398979,10180.991311,5620.421198,8922.617569,0.0,3995.064524,2057.211021
60,1725.917681,1196.160389,1531.813515,0.0,8805.19986,22953.989589,2033.602677,10230.8404,5648.146921,9000.764238,0.0,4008.581709,2070.358632
61,1744.075961,1210.477877,1546.42861,0.0,8829.884221,23046.50502,2049.974042,10287.967889,5679.221105,9085.300599,0.0,4023.917986,2084.498259
62,1755.677701,1217.782102,1555.540231,0.0,8849.86076,23105.975786,2061.235933,10330.378151,5704.2505,9137.859897,0.0,4037.037503,2094.75982
63,1772.634897,1227.319765,1568.534608,0.0,8895.521104,23207.751343,2078.212452,10401.378079,5749.895986,9216.864355,0.0,4059.388291,2110.918875
64,1774.677478,1228.445341,1570.15123,0.0,8900.094471,23218.026156,2080.440637,10414.771072,5756.40844,9227.140464,0.0,4062.497126,2112.990533
65,1776.381583,1229.452062,1571.615451,0.0,8903.889698,23226.434407,2082.330195,10427.680802,5762.519097,9235.882111,0.0,4065.062455,2114.711951
66,1810.373806,1265.738682,1720.252904,0.0,9067.537089,24968.773572,2122.507862,10503.291984,6397.632496,9397.672222,0.0,4159.393043,2159.077481
67,1850.0488,1310.650977,1834.449435,0.0,9188.234812,26203.553707,2152.565286,10535.385527,6835.871219,9516.977941,0.0,4229.63188,2193.195686
68,1857.119446,1317.305831,1844.260374,0.0,9220.195301,26276.839188,2160.318496,10568.800598,6878.76159,9551.042609,0.0,4243.639243,2201.380475
69,1863.717154,1319.263946,1850.254033,0.0,9249.368175,26342.188924,2167.868301,10610.042031,6903.335016,9585.402982,0.0,4255.107155,2209.004084
70,1869.306827,1320.342929,1854.786014,0.0,9262.950223,26408.229613,2173.870048,10637.014398,6924.705864,9612.132094,0.0,4264.729331,2215.351267
71,1881.208521,1328.229152,1865.818516,0.0,9296.375943,26501.345242,2185.881226,10686.623292,6955.042036,9676.479132,0.0,4278.173774,2226.101325
72,1889.613458,1330.084918,1872.846896,0.0,9317.919301,26607.364452,2195.364357,10731.968313,6999.752148,9720.357412,0.0,4293.659905,2236.201784
73,1895.819289,1331.859065,1877.851508,0.0,9332.162823,26677.064364,2201.826046,10760.489366,7021.872222,9749.818906,0.0,4303.688343,2242.972484
74,1901.339246,1332.916642,1882.217017,0.0,9345.659433,26742.132624,2207.813167,10787.123422,7042.816444,9776.818195,0.0,4313.313668,2249.339921
